(('n2@120|15', (1, 163)), '-')
(('n2@151|29', (1, 164)), '-')
(('n2@151|31', (1, 165)), '-')
(('n2@149|19', (1, 166)), '-')
(('n2@150|11', (1, 167)), '-')
(('n2@151|33', (1, 168)), '+')
(('n2@120|17', (1, 169)), '+')
(('n2@128|21', (1, 170)), '+')
(('n2@128|23', (1, 171)), '+')
(('n2@134|5', (1, 172)), '+')
(('n2@135|5', (1, 173)), '+')
(('n2@136|5', (1, 174)), '+')
(('n2@137|5', (1, 175)), '+')
(('n2@137|7', (1, 176)), '+')
(('n2@426|5', (1, 177)), '-')
(('n2@138|5', (1, 178)), '-')
(('n2@139|3', (1, 179)), '+')
(('n2@140|3', (1, 180)), '-')
(('n2@141|3', (1, 181)), '-')
(('n2@142|3', (1, 182)), '-')
(('n2@144|3', (1, 183)), '+')
(('n2@145|5', (1, 184)), '-')
(('n2@146|5', (1, 185)), '-')
(('n2@145|7', (1, 186)), '-')
(('n2@146|7', (1, 187)), '-')
(('n2@147|7', (1, 188)), '-')
(('n2@148|7', (1, 189)), '+')
(('n2@149|21', (1, 190)), '-')
(('n2@151|35', (1, 191)), '+')
(('n2@119|9', (1, 192)), '+')
(('n2@118|9', (1, 193)), '+')
(('n2@610|5', (1, 194)), '+')
(('n2@117|9', (1, 195)), '+')
(('n2@116|9', (1, 196)), '+')
(('n2@147|9', (1, 197)), '-')
(('n2@148|9', (1, 198)), '+')
(('n2@149|23', (1, 199)), '-')
(('n2@150|13', (1, 200)), '-')
(('n2@148|11', (1, 201)), '-')
(('n2@147|11', (1, 202)), '+')
(('n2@116|11', (1, 203)), '-')
(('n2@117|11', (1, 204)), '-')
(('n2@118|11', (1, 205)), '-')
(('n2@119|11', (1, 206)), '-')
(('n2@929|11', (1, 207)), '+')
(('n2@127|11', (1, 208)), '+')
(('n2@126|11', (1, 209)), '+')
(('n2@125|3', (1, 210)), '+')
(('n2@124|3', (1, 211)), '+')
(('n2@936|3', (1, 212)), '-')

(('n2@358|3', (1, 508)), '+')
(('n2@357|3', (1, 507)), '-')
(('n2@356|3', (1, 506)), '-')
(('n2@355|3', (1, 505)), '+')
(('n2@354|3', (1, 504)), '+')
(('n2@353|3', (1, 503)), '-')
(('n2@352|3', (1, 502)), '+')
(('n2@470|3', (1, 501)), '-')
(('n2@469|3', (1, 500)), '-')
(('n2@351|3', (1, 499)), '-')
(('n2@350|3', (1, 498)), '-')
(('n2@349|7', (1, 497)), '+')
(('n2@348|7', (1, 496)), '+')
(('n2@342|5', (1, 495)), '+')
(('n2@343|5', (1, 494)), '-')
(('n2@344|5', (1, 493)), '+')
(('n2@345|9', (1, 492)), '-')
(('n2@340|5', (1, 491)), '-')
(('n2@339|7', (1, 490)), '-')
(('n2@338|7', (1, 489)), '+')
(('n2@349|9', (1, 488)), '+')
(('n2@348|9', (1, 487)), '+')
(('n2@342|7', (1, 486)), '+')
(('n2@343|7', (1, 485)), '-')
(('n2@993|3', (1, 484)), '-')
(('n2@994|3', (1, 483)), '+')
(('n2@995|7', (1, 482)), '-')
(('n2@995|5', (1, 481)), '-')
(('n2@280|3', (1, 480)), '+')
(('n2@281|3', (1, 479)), '-')
(('n2@282|3', (1, 478)), '+')
(('n2@443|7', (1, 477)), '-')
(('n2@443|5', (1, 476)), '-')
(('n2@442|3', (1, 475)), '+')
(('n2@294|7', (1, 474)), '-')
(('n2@295|7', (1, 473)), '+')
(('n2@294|5', (1, 472)), '-')
(('n2@295|5', (1, 471)), '+')
(('n2@296|3', (1, 470)), '+')
(('n2@313|7', (1, 469)), '+')
(('n2@314|5', (1, 468)), '+')
(('n2@315|5', (1, 467)), '-')
(('n2@316|5', (1, 466)), '-')
(('n2@317|5', (1, 465)), '-')
(('n2@321|5', (1, 464)), '+')
(('n2@298|3', (1, 463)), '-')
(('n2@297|3', (1, 462)), '+')
(('n2@364|7', (1, 461)), '-')
(('n2@385|3', (1, 460)), '+')
(('n2@384|3', (1, 459)), '-')
(('n2@383|3', (1, 458)), '+')
